alain	alin	6	87	46
odette	audette	6	67	145
audet	audette	17	372	145
brettel	brettell	5	33	165
brettle	brettell	14	77	165
bretell	brettell	8	15	165
chalcroft	chalcraft	8	54	126
chun	chunn	7	151	153
dominy	doming	5	184	18
duvall	duval	75	1334	913
ebdon	ebden	5	119	60
eddinger	edinger	10	63	193
gillings	gilling	9	205	160
grinstead	grinsted	12	280	64
hoffmeister	hofmeister	7	129	122
hudak	hudock	10	202	60
huffine	huffines	9	81	85
huffins	huffines	5	16	85
humm	hum	13	228	108
hider	hyder	13	163	350
jeyes	jayes	7	65	90
lanigan	lannigan	8	251	83
lattimer	latimer	36	253	1066
laws	lawes	43	1491	442
lewellyn	lewellen	10	161	276
leibman	liebman	9	29	95
liebmann	liebman	6	43	95
lipschitz	lifschitz	7	93	31
lydon	lyden	16	372	159
mizen	misen	5	174	17
mohrman	mohrmann	6	36	51
oats	oates	82	391	1643
parra	para	5	196	44
pascal	pascall	7	223	111
lachance	pepin	23	454	508
phillpot	phillpott	6	109	102
plemmons	plemons	15	169	111
pew	pue	9	309	53
pirtle	purtle	9	258	97
rone	rhone	8	147	164
rolinson	rollinson	13	82	519
rawlinson	rollinson	33	994	519
st-louis	saint-louis	7	60	17
schlossberg	schlosberg	5	57	35
severence	severance	10	39	283
destefano	stefano	6	197	59
distefano	stefano	5	163	59
stoodley	stoodly	5	199	13
swanwick	swanick	5	118	32
tacket	tackett	18	71	783
tompsett	thompsett	11	148	116
thomsett	thompsett	7	101	116
tremaine	tremain	17	177	221
tyrell	tyrrell	148	720	1227
vallance	valance	17	438	75
whisler	whistler	26	182	237
yexley	yaxley	5	29	203
akroyd	ackroyd	17	113	504
ackrill	akrill	6	77	38
antilla	anttila	5	35	36
atchinson	atchison	16	136	601
binnion	binion	7	57	144
binion	binnion	9	144	57
blackly	blackley	9	25	281
labombard	bombard	6	64	84
buckridge	buckeridge	5	46	72
bullman	bulman	15	173	312
cassatt	cassat	5	43	18
cherryman	cherriman	5	30	27
chastney	chestney	5	38	60
cholette	cholet	5	31	33
colborne	colbourne	16	158	279
colbourn	colbourne	12	121	279
daltry	daltrey	7	45	50
delacy	delacey	8	103	60
deslaurier	deslauriers	8	43	207
legault	deslauriers	15	321	207
demaria	dimaria	5	104	43
default	dufault	5	19	145
dustin	duston	7	262	70
erlich	ehrlich	13	73	280
everidge	everage	6	73	60
fivecoats	fivecoat	5	23	43
goudie	gowdie	5	206	21
hanney	hannay	13	188	201
hollander	hollender	7	288	47
jestin	justin	5	23	160
kays	kayes	8	184	73
lounsberry	lounsbury	6	79	199
lewman	luman	6	68	102
looman	luman	5	53	102
mckenzie	mackenzie	462	5852	3158
mcclellan	mcclelland	75	1530	1471
mclelland	mcclelland	50	369	1471
mcewan	mcewen	62	869	919
lehoux	meilleur	5	61	83
metcalf	metcalfe	240	2720	1978
minett	minet	6	169	49
pawlak	pavlak	5	130	35
peifer	peiffer	6	69	144
pfieffer	pfiefer	9	100	67
pyles	piles	22	423	204
polhamus	polhemus	6	66	129
poiner	poyner	8	28	283
poynor	poyner	11	74	283
railey	raley	14	188	360
records	record	11	115	358
shill	schill	6	120	164
sherrard	sherard	8	256	107
shapland	shopland	8	151	90
snellgrove	snelgrove	16	179	321
summerset	summersett	5	30	46
tong	tonge	20	453	434
townes	towns	26	192	549
vigar	viger	5	126	110
westhorp	westhorpe	7	33	38
wilcoxen	wilcoxon	6	117	96
wiseley	wisely	5	40	73
wyncoop	wynkoop	5	28	148
zug	zook	10	95	359
barass	barrass	12	31	329
barras	barrass	26	258	329
blandford	blanford	15	396	129
briddon	bridden	5	102	32
brettle	brittle	13	77	154
catley	cattley	5	160	54
caverley	caverly	9	48	111
curtin	curtain	34	706	202
dootson	doodson	5	101	69
dowthwaite	douthwaite	9	71	201
falkner	faulkner	99	525	4061
gurganus	ganus	5	107	40
gardner	gardener	319	11270	1622
gardiner	gardener	186	3862	1622
gooden	goodin	21	486	472
gottleib	gottlieb	9	39	321
hartell	hartel	5	69	91
hellewell	hellawell	8	154	88
kiely	kiley	24	408	425
kingsnorth	kingsworth	7	110	22
kizer	kiser	37	346	970
kuhlman	kuhlmann	29	284	197
levine	levin	53	1313	931
nevel	nevil	5	77	130
nevill	nevil	13	442	130
normanton	norminton	5	87	39
popovich	popovic	8	155	48
redinger	ridinger	5	78	76
reimann	riemann	5	161	66
spelman	spellman	34	199	473
stewardson	stewartson	6	100	21
tideswell	tidswell	6	101	179
tricket	trickett	16	53	380
vercoe	varcoe	7	140	177
watmough	watmuff	5	190	31
winkelman	winkleman	13	143	133
wollmann	wollman	5	17	56
borrowman	barrowman	7	60	84
brunsdon	brunsden	10	115	70
biles	byles	21	443	177
channell	channel	12	256	100
chidester	chedister	6	193	26
chumbley	chumley	8	111	203
crozier	crosier	30	907	235
denly	denley	7	32	150
dewald	dewalt	8	172	160
dewolfe	dewolf	11	111	270
dilldine	dildine	6	14	107
donaghy	donaghey	11	263	95
estey	esty	8	171	90
finnemore	finnamore	5	122	49
frields	freels	5	37	111
gruenewald	grunewald	5	45	129
gruenwald	grunewald	6	92	129
hanscome	hanscom	5	23	160
herns	hearns	5	33	107
hilderbrand	hilderbran	6	211	14
hilderbrand	hilderbrandt	8	211	52
holtman	holtmann	6	77	33
huskinson	huskisson	7	77	71
joslin	joslyn	22	732	210
keiter	kiter	5	57	19
kleinfelter	klinefelter	6	53	72
luongo	longo	10	97	338
mckinlay	mackinlay	9	365	66
maude	maud	22	360	291
mays	mayes	134	2064	1845
